,artist,num_lines,sentiment,tags,f_k_grade,year,pos,num_syllables,difficult_words,fog_index,title,num_dupes,flesch_index,num_words,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_compound,genre
0,Beatles,68,"{'neg': 0.036000000000000004, 'neu': 0.837, 'pos': 0.128, 'compound': 0.9872000000000001}","['pop', 'rock']",4.1,1968,1,576.0,23,4.0,Hey Jude,41,74.86,395,0.036000000000000004,0.837,0.128,0.9872000000000001,pop
1,Otis Redding,25,"{'neg': 0.018000000000000002, 'neu': 0.927, 'pos': 0.055, 'compound': 0.5911000000000001}","['blues', 'rock', 'soul']",1.3,1968,4,223.2,20,4.800000000000001,(Sittin' On) The Dock Of The Bay,10,98.21,181,0.018000000000000002,0.927,0.055,0.5911000000000001,blues
2,Herb Alpert,30,"{'neg': 0.017, 'neu': 0.643, 'pos': 0.341, 'compound': 0.9967}",[],-0.7000000000000001,1968,7,172.8,2,4.0,This Guy's In Love With You,12,108.7,163,0.017,0.643,0.341,0.9967,none
3,Simon and Garfunkel,36,"{'neg': 0.043000000000000003, 'neu': 0.705, 'pos': 0.252, 'compound': 0.9959}","['folk', 'rock']",1.3,1968,9,309.6,23,4.800000000000001,Mrs. Robinson,17,98.21,256,0.043000000000000003,0.705,0.252,0.9959,folk
4,Jeannie C. Riley,26,"{'neg': 0.026000000000000002, 'neu': 0.888, 'pos': 0.08600000000000001, 'compound': 0.9352}",[],4.4,1968,11,401.4,47,6.800000000000001,Harper Valley P.T.A.,5,84.68,318,0.026000000000000002,0.888,0.08600000000000001,0.9352,none
5,Doors,30,"{'neg': 0.038, 'neu': 0.6960000000000001, 'pos': 0.267, 'compound': 0.9947}",['rock'],0.9,1968,14,217.8,10,4.4,"Hello, I Love You",27,99.23,184,0.038,0.6960000000000001,0.267,0.9947,rock
6,Box Tops,30,"{'neg': 0.19, 'neu': 0.551, 'pos': 0.258, 'compound': 0.9495}",[],0.9,1968,16,240.3,10,4.4,Cry Like A Baby,18,99.23,208,0.19,0.551,0.258,0.9495,none
7,Sly and The Family Stone,19,"{'neg': 0.0, 'neu': 0.91, 'pos': 0.09, 'compound': 0.8953000000000001}",['soul'],4.8,1968,20,207.9,23,4.800000000000001,Dance To The Music,6,72.83,140,0.0,0.91,0.09,0.8953000000000001,soul
8,Temptations,40,"{'neg': 0.134, 'neu': 0.684, 'pos': 0.182, 'compound': 0.9025000000000001}","['hip-hop/rnb', 'soul']",-0.30000000000000004,1968,22,290.7,23,4.4,I Wish It Would Rain,10,107.69,255,0.134,0.684,0.182,0.9025000000000001,hip-hop/rnb
9,Delfonics,30,"{'neg': 0.044, 'neu': 0.8180000000000001, 'pos': 0.138, 'compound': 0.966}",[],-0.30000000000000004,1968,23,210.6,9,4.4,La-La Means I Love You,13,107.69,199,0.044,0.8180000000000001,0.138,0.966,none
