,artist,num_lines,sentiment,tags,f_k_grade,year,pos,num_syllables,difficult_words,fog_index,title,num_dupes,flesch_index,num_words,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_compound
0,Whitney Houston,24,"{'neg': 0.006, 'neu': 0.449, 'pos': 0.545, 'compound': 0.9993000000000001}",['pop'],0.9,1993,1,176.4,6,4.4,I Will Always Love You,10,99.23,150,0.006,0.449,0.545,0.9993000000000001
1,UB40,34,"{'neg': 0.145, 'neu': 0.486, 'pos': 0.369, 'compound': 0.9919}","['pop', 'reggae']",-1.0,1993,3,161.1,4,3.6,Can't Help Falling In Love,23,109.72,141,0.145,0.486,0.369,0.9919
2,Janet Jackson,61,"{'neg': 0.082, 'neu': 0.61, 'pos': 0.309, 'compound': 0.9987}","['electronic/dance', 'pop']",0.5,1993,4,397.8,16,4.0,That's The Way Love Goes,47,100.24,337,0.082,0.61,0.309,0.9987
3,SWV,60,"{'neg': 0.154, 'neu': 0.672, 'pos': 0.17500000000000002, 'compound': 0.972}",[],0.5,1993,6,547.2,21,5.2,Weak,42,105.66,485,0.154,0.672,0.17500000000000002,0.972
4,Shai,32,"{'neg': 0.012, 'neu': 0.671, 'pos': 0.318, 'compound': 0.9979}",[],1.3,1993,7,314.1,24,4.800000000000001,If I Ever Fall In Love,14,98.21,255,0.012,0.671,0.318,0.9979
5,Mariah Carey,50,"{'neg': 0.091, 'neu': 0.752, 'pos': 0.157, 'compound': 0.9626}","['pop', 'hip-hop/rnb']",2.1,1993,8,432.0,24,4.4,Dreamlover,32,90.77,322,0.091,0.752,0.157,0.9626
6,Wreckx-N-Effect,119,"{'neg': 0.126, 'neu': 0.8180000000000001, 'pos': 0.056, 'compound': -0.9887}",[],1.3,1993,9,1048.5,60,4.800000000000001,Rump Shaker,90,98.21,849,0.126,0.8180000000000001,0.056,-0.9887
7,Snow,96,"{'neg': 0.125, 'neu': 0.8140000000000001, 'pos': 0.061, 'compound': -0.9956}",['reggae'],2.1,1993,10,1033.2,62,5.6,Informer,80,96.18,869,0.125,0.8140000000000001,0.061,-0.9956
8,Dr. Dre,81,"{'neg': 0.123, 'neu': 0.68, 'pos': 0.197, 'compound': 0.9963000000000001}",[],2.1,1993,11,854.1,86,5.6,"Nuthin' But A ""G"" Thang",15,96.18,729,0.123,0.68,0.197,0.9963000000000001
9,Boyz II Men,26,"{'neg': 0.0, 'neu': 0.791, 'pos': 0.209, 'compound': 0.9884000000000001}","['pop', 'soul']",0.9,1993,12,185.4,9,4.4,In The Still Of The Nite,20,99.23,158,0.0,0.791,0.209,0.9884000000000001
