,artist,num_lines,sentiment,tags,f_k_grade,year,pos,num_syllables,difficult_words,fog_index,title,num_dupes,flesch_index,num_words,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_compound,genre,danceability,energy,loudness,instrumentalness,liveness,spotify_id,spotify_url,duration_ms
0,Association,49,"{'neg': 0.022, 'neu': 0.8180000000000001, 'pos': 0.16, 'compound': 0.9895}",['pop'],0.9,1966,2,373.5,20,4.4,Cherish,18,99.23,317,0.022,0.8180000000000001,0.16,0.9895,pop,0.51,0.544,-8.308,0.0,0.144,7uGeDI6nJEdUYMsMd7mQyl,https://api.spotify.com/v1/tracks/7uGeDI6nJEdUYMsMd7mQyl,207133.0
1,Four Tops,31,"{'neg': 0.04, 'neu': 0.79, 'pos': 0.171, 'compound': 0.989}",['soul'],0.9,1966,4,336.6,22,5.6,Reach Out I'll Be There,6,104.64,298,0.04,0.79,0.171,0.989,soul,0.607,0.599,-8.908,0.0,0.188,6Pkj4nv5K53i64cLVgkVyY,https://api.spotify.com/v1/tracks/6Pkj4nv5K53i64cLVgkVyY,178533.0
2,Monkees,42,"{'neg': 0.268, 'neu': 0.719, 'pos': 0.012, 'compound': -0.9945}","['pop', 'rock']",0.5,1966,6,281.7,16,4.0,Last Train To Clarksville,33,100.24,235,0.268,0.719,0.012,-0.9945,pop,0.239,0.618,-8.464,0.0,0.721,3h4t9qpFktohHeUQc3hZCa,https://api.spotify.com/v1/tracks/3h4t9qpFktohHeUQc3hZCa,164093.0
3,Supremes,61,"{'neg': 0.059000000000000004, 'neu': 0.645, 'pos': 0.296, 'compound': 0.9983000000000001}",[],0.5,1966,8,403.2,14,4.0,You Can't Hurry Love,31,100.24,330,0.059000000000000004,0.645,0.296,0.9983000000000001,none,0.63,0.711,-9.34,0.0,0.0813,1OppEieGNdItZbE14gLBEv,https://api.spotify.com/v1/tracks/1OppEieGNdItZbE14gLBEv,167933.0
4,Johnny Rivers,34,"{'neg': 0.07100000000000001, 'neu': 0.848, 'pos': 0.081, 'compound': 0.6594}",[],0.9,1966,9,276.3,11,4.4,Poor Side Of Town,15,99.23,229,0.07100000000000001,0.848,0.081,0.6594,none,0.423,0.467,-12.194,2.38e-06,0.255,60DmpUd1BnemzjASiUewnf,https://api.spotify.com/v1/tracks/60DmpUd1BnemzjASiUewnf,218387.0
5,Lovin' Spoonful,42,"{'neg': 0.10300000000000001, 'neu': 0.861, 'pos': 0.036000000000000004, 'compound': -0.9579000000000001}",['folk'],1.3,1966,11,351.9,19,4.800000000000001,Summer In The City,30,98.21,300,0.10300000000000001,0.861,0.036000000000000004,-0.9579000000000001,folk,0.423,0.681,-9.756,0.000177,0.0889,7AzFID6u1b3zIWbd9pb8Dk,https://api.spotify.com/v1/tracks/7AzFID6u1b3zIWbd9pb8Dk,160307.0
6,Nancy Sinatra,22,"{'neg': 0.0, 'neu': 0.909, 'pos': 0.091, 'compound': 0.9574}",[],1.7000000000000002,1966,13,225.0,18,5.2,These Boots Are Made For Walkin',11,97.2,185,0.0,0.909,0.091,0.9574,none,0.74,0.392,-11.996,1.11e-06,0.0965,2nwCO1PqpvyoFIvq3Vrj8N,https://api.spotify.com/v1/tracks/2nwCO1PqpvyoFIvq3Vrj8N,166008.0
7,Jimmy Ruffin,36,"{'neg': 0.105, 'neu': 0.664, 'pos': 0.231, 'compound': 0.9884000000000001}",[],2.1,1966,14,299.7,31,4.4,What Becomes Of The Brokenhearted,10,90.77,225,0.105,0.664,0.231,0.9884000000000001,none,0.733,0.443,-12.017,0.0,0.519,0wBaPbJ2qsbGqgnGbqBDgP,https://api.spotify.com/v1/tracks/0wBaPbJ2qsbGqgnGbqBDgP,178440.0
8,Frank Sinatra,29,"{'neg': 0.013000000000000001, 'neu': 0.747, 'pos': 0.23900000000000002, 'compound': 0.9916}","['jazz', 'pop', 'swing']",1.7000000000000002,1966,15,206.1,22,4.0,Strangers In The Night,9,91.78,161,0.013000000000000001,0.747,0.23900000000000002,0.9916,jazz,0.259,0.473,-8.275,0.0,0.201,74VR3AkGPhbYXnxcOYa16x,https://api.spotify.com/v1/tracks/74VR3AkGPhbYXnxcOYa16x,157867.0
9,Beatles,32,"{'neg': 0.109, 'neu': 0.808, 'pos': 0.084, 'compound': -0.7506}","['pop', 'rock']",0.1,1966,16,256.5,10,4.800000000000001,We Can Work It Out,25,106.67,239,0.109,0.808,0.084,-0.7506,pop,0.378,0.677,-8.63,0.0,0.183,1hTUFqJuQAMjXVGwUPWDqi,https://api.spotify.com/v1/tracks/1hTUFqJuQAMjXVGwUPWDqi,135693.0
